"104316","01015001420103504103","4","60"
"104317","01015001420103505103","4","60"
"104318","01015001460202904101","4","25"
"104319","01015001460202905101","4","20"
"104320","01015001460202907101","4","30"
"104321","01015001470203701101","4","30"
"104322","01015001470203702101","1","50"
"104323","01015001470203703101","4","70"
"104324","01015001540103402103","3","50"
"104325","01015001540103405103","4","20"
"104326","01015001550102502101","4","50"
"104327","01015001550102503101","4","40"
"104328","01015001550102505101","4","75"
"104329","01015001570203201102","4","25"
"104330","01015001570203202102","4","100"
"104331","01015001570203204102","4","70"
"104332","01015001610202701103","4","20"
"104333","01015001610202702103","4","90"
"104334","01015001610202704103","2","70"
"104335","01015001620403202102","4","20"
"104336","01015001620403209102","4","40"
"104337","01015001630204201103","4","60"
"104338","01015001630204202103","4","70"
"104339","01015001630204203103","4","30"
"104340","01015001630204207103","4","60"
"104341","01015001640203203102","4","6"
"104342","01015001640203205102","4","100"
"104343","01015001640203206102","4","40"
"104344","01015001640203207102","1","40"
"104345","01015001670203101102","4","100"
"104346","01015001670203103102","4","50"
"104347","01015001670203107102","4","100"
"104348","01015001680304204103","4","60"
"104349","01015001680304205103","4","50"
"104350","01015001680304206103","4","40"
"104351","01015001700102802101","4","100"
"104352","01015001700102804101","4","60"
"104353","01015001700102805101","4","60"
"104354","01015001710204202103","4","60"
"104355","01015001730203701101","4","5"
"104356","01015001730203702101","4","10"
"104357","01015001730203703101","1","40"
"104358","01015001730203705101","4","40"
"104359","01015001740304107102","4","160"
"104360","01015001760203102102","4","100"
"104361","01015001760203104102","4","200"
"104362","01015001760203105102","4","100"
"104363","01015001760203106102","3","20"
"104364","01015001770102602102","4","50"
"104365","01015001770102605102","4","40"
"104366","01015001770102606102","4","10"
"104367","01015001780103402103","4","25"
"104368","01015001780103403103","4","25"
"104369","01015001780103404103","4","20"
"104370","01015001780103405103","4","50"
"104371","01015001780103407103","4","20"
"104372","01015001800303202102","4","80"
"104373","01015001800303203102","4","20"
"104374","01015001800303207102","4","120"
"104375","01015001860103701101","4","25"
"104376","01015001860103703101","3","20"
"104377","01015001890202801101","4","200"
"104378","01015001890202802101","4","35"
"104379","01015001890202803101","4","10"
"104380","01015001890202804101","3","5"
"104381","01015001890202807101","4","30"
"104382","01015001930202502101","4","30"
"104383","01015001930202503101","1","30"
"104384","01015001930202504101","2","60"
"104385","01015001930202505101","4","100"
"104386","01015001930202507101","4","50"
"104387","01015001950203701101","4","60"
"104388","01015001950203704101","4","10"
"104389","01015001990502701103","4","80"
"104390","01015001990502703103","4","80"
"104391","01015001990502704103","4","80"
"104392","01015001990502706103","4","80"
"104393","01015002040102704103","4","20"
"104394","01015002040102705103","3","40"
"104395","01015002040102706103","4","60"
"104396","01015002040102707103","4","34"
"104397","01015002040303701101","4","10"
"104398","01015002040303703101","4","15"
"104399","01015002040303704101","4","20"
"104400","01015002040303706101","4","15"
"104401","01015002040303707101","4","25"
"104402","01015002050104101102","4","60"
"104403","01015002050104104102","4","110"
"104404","01015002050104106102","1","50"
"104405","01015002050104108102","4","80"
"104406","01015002050104109102","1","80"
"104407","01015002050202901101","4","60"
"104408","01015002050202904101","4","60"
"104409","01015002050202905101","3","80"
"104410","01015002050202906101","3","80"
"104411","01015002050202907101","4","80"
"104412","01015002050202908101","4","50"
"104413","01015002050402805101","4","60"
"104414","01015002050402806101","4","60"
"104415","01015002050402807101","4","45"
"104416","01015002070302703103","4","120"
"104417","01015002070302704103","4","80"
"104418","01015002070302705103","4","40"
"104419","01015002070302706103","4","40"
"104420","01015002110202702103","4","80"
"104421","01015002110202704103","4","60"
"104422","01015002110202705103","4","30"
"104423","01015002110202707103","4","60"
"104424","01015002180302901101","4","80"
"104425","01015002180302902101","4","60"
"104426","01015002180302905101","4","45"
"104427","01015002180302906101","4","120"
"104428","01015002260202903101","4","50"
"104429","01015002260202908101","4","50"
"104430","01015002290202701103","4","50"
"104431","01015002290202702103","4","15"
"104432","01015002290202703103","4","35"
"104433","01015002290202704103","4","20"
"104434","01015002290202705103","4","40"
"104435","01015002290202706103","3","40"
"104436","01015002290202708103","4","40"
"104437","01015002300103701101","4","100"
"104438","01015002300103702101","4","40"
"104439","01015002300103703101","4","90"
"104440","01015002300103705101","4","80"
"104441","01015002300103706101","4","55"
"104442","01015002300103708101","4","70"
