"01015000020102601102",\N,"1",\N,"0","0","150","4","3","0",\N,\N,"1","2","4","1","4","1","2","2","2","3","1","1","1","1","0101500002010260102"
"01015000020102602102",\N,"1",\N,"1","1","100","3","2","0",\N,\N,"1","2","1","1","2","1","6","1","1","1","1","1","1","1","0101500002010260202"
"01015000020102603102",\N,"1",\N,"0","0","200","3","2","0",\N,\N,"1","2","1","1","1","1","1","1","1","1","1","1","1","1","0101500002010260302"
"01015000020102604102",\N,"1",\N,"1","1","200","4","3","0",\N,\N,"1","2","1","1","1","3","6","1","1","3","1","1","1","1","0101500002010260402"
"01015000020102605102",\N,"1",\N,"0","0","800","6","5","0",\N,\N,"1","2","4","1","1","1","4","3","2","3","1","1","1","1","0101500002010260502"
"01015000020102606102",\N,"1",\N,"0","0","160","3","2","0",\N,\N,"1","2","1","1","1","3","6","2","2","2","1","1","1","1","0101500002010260602"
"01015000020102609102",\N,"1",\N,"1","1","150","4","3","0",\N,\N,"1","2","1","1","1","1","2","2","2","3","1","1","1","1","0101500002010260902"
"01015000030404201103","1","1",\N,"1","1","250","3","2","0",\N,\N,"1","2","1","1","1","1","4","1","1","1","1","1","1","1","0101500003040420103"
"01015000030404202103",\N,"0",\N,"1","1","60","1","0","0",\N,\N,"2","2","1","1","4","4","3","2","2","2","1","1","1","2","0101500003040420203"
"01015000030404203103",\N,"1",\N,"1","0","170","3","2","0",\N,\N,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","0101500003040420303"
"01015000030404204103",\N,"1",\N,"0","0","200","3","2","0",\N,\N,"1","2","4","1","2","1","2","2","2","3","1","1","1","1","0101500003040420403"
"01015000030404205103","1","1","1","0","0","350","10","4","0",\N,\N,"1","2","1","1","1","1","4","1","1","1","1","1","1","1","0101500003040420503"
"01015000030404206103",\N,"0",\N,"1","1","80","1","0","0",\N,\N,"2","2","1","1","4","1","2","2","2","1","1","1","1","2","0101500003040420603"
"01015000030404207103",\N,"1",\N,"0","0","120","2","2","0",\N,\N,"1","2","5","1","1","1","2","2","2","1","1","1","1","1","0101500003040420703"
"01015000110102801101",\N,"1",\N,"0","0","200","4","3","0",\N,\N,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","0101500011010280101"
"01015000110102802101","1","1",\N,"0","0","240","4","3","0",\N,\N,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","0101500011010280201"
"01015000110102804101",\N,"1",\N,"0","0","160","3","2","0",\N,\N,"1","2","1","1","1","1","6","1","1","1","1","1","1","1","0101500011010280401"
"01015000110102805101",\N,"1",\N,"0","0","200","4","3","0",\N,\N,"1","2","1","1","2","1","2","1","1","1","1","1","1","1","0101500011010280501"
"01015000110102806101","1","1",\N,"0","0","350","5","3","0",\N,\N,"1","2","4","1","2","1","2","1","1","2","1","1","1","1","0101500011010280601"
"01015000110102807101","2","1",\N,"0","0","250","3","2","0",\N,\N,"1","2","4","1","2","1","2","2","2","2","1","1","1","1","0101500011010280701"
"01015000110102808101","1","1","1","0","0","120","4","3","0",\N,\N,"1","2","1","1","4","1","1","1","1","1","1","1","1","1","0101500011010280801"
"01015000130703701101",\N,"1",\N,"0","0","50","1","1","0","3","1","2","2","5","5","4","4","3","2","2","2","1","1","1","3","0101500013070370101"
"01015000130703702101","1","1",\N,"0","0","250","5","4","0",\N,\N,"1","2","4","1","2","1","3","1","1","1","1","1","1","1","0101500013070370201"
"01015000130703703101",\N,"1",\N,"0","0","125","3","3","1",\N,\N,"1","2","4","1","1","3","4","2","2","2","1","1","1","1","0101500013070370301"
"01015000130703705101","1","1",\N,"0","0","200","4","3","0",\N,\N,"1","2","4","1","1","1","2","1","1","2","1","1","1","1","0101500013070370501"
"01015000130703707101",\N,"0",\N,"0","1","50","1","1","0","2",\N,"4","2","1","5","7","4","3","3","3","3","7","1","1","3","0101500013070370701"
"01015000130703709101",\N,"1",\N,"1","1","120","1","1","0",\N,\N,"2","2","1","1","1","1","6","2","2","1","1","1","1","2","0101500013070370901"
"01015000170102801101",\N,"1","2","0","0","400","4","3","0",\N,\N,"1","2","5","1","2","1","3","1","1","1","1","1","1","1","0101500017010280101"
"01015000170102802101",\N,"1",\N,"0","0","150","5","4","0",\N,\N,"1","2","4","1","2","3","4","2","3","3","1","1","1","1","0101500017010280201"
"01015000170102803101",\N,"1",\N,"1","1","50","2","1","0",\N,\N,"1","2","1","1","4","1","6","1","1","1","1","2","1","1","0101500017010280301"
"01015000170102804101","1","1",\N,"0","0","200","5","4","0",\N,\N,"1","2","4","1","2","1","4","2","1","1","1","1","1","1","0101500017010280401"
"01015000170102805101","1","1","1","0","0","300","6","4","0",\N,\N,"1","2","4","1","1","1","1","1","1","1","1","1","3","1","0101500017010280501"
"01015000170102806101",\N,"1",\N,"0","0","400","3","2","1",\N,\N,"1","2","5","1","2","1","1","1","1","2","1","1","1","1","0101500017010280601"
"01015000170102807101",\N,"1",\N,"0","0","260","8","5","0",\N,\N,"1","2","5","1","2","1","6","2","2","3","1","1","1","1","0101500017010280701"
"01015000170602901101","1","1","1","0","0","200","5","4","0",\N,\N,"1","2","4","2","4","1","3","3","2","2","3","1","1","1","0101500017060290101"
"01015000170602902101","3","1",\N,"0","0","300","5","4","0",\N,\N,"1","2","4","1","1","1","2","1","1","1","1","1","1","1","0101500017060290201"
"01015000170602903101",\N,"0",\N,"0","0","50","1","1","0",\N,\N,"2","2","1","1","7","4","3","3","2","1","3","1","1","1","0101500017060290301"
"01015000170602905101",\N,"1",\N,"0","0","200","3","2","0",\N,\N,"1","2","5","1","2","1","2","1","1","2","1","1","1","1","0101500017060290501"
"01015000170602906101","1","1",\N,"0","0","250","6","4","0",\N,\N,"1","2","4","1","2","1","2","1","1","1","1","1","1","1","0101500017060290601"
"01015000170602907101","1","1",\N,"0","0","350","8","5","0",\N,\N,"1","2","4","1","1","1","2","1","1","1","1","1","1","1","0101500017060290701"
