"0101500051030250101","5103","u","1","10150","202301","1","3"
"0101500051030250201","5103","u","2","10150","202301","1","2"
"0101500051030250301","5103","u","3","10150","202301","1","3"
"0101500051030250401","5103","u","4","10150","202301","1","3"
"0101500051030250501","5103","u","5","10150","202301","1","3"
"0101500051030250601","5103","u","6","10150","202301","1","1"
"0101500051030250701","5103","u","7","10150","202301","1","2"
"0101500052030410102","5203","u","1","10150","202302","1","2"
"0101500052030410302","5203","u","3","10150","202302","1","1"
"0101500052030410402","5203","u","4","10150","202302","1","2"
"0101500052030410502","5203","u","5","10150","202302","1","1"
"0101500052030410602","5203","u","6","10150","202302","1","1"
"0101500052030410902","5203","u","9","10150","202302","1","2"
"0101500052030411002","5203","u","10","10150","202302","1","1"
"0101500054010410102","5401","u","1","10150","202302","1","1"
"0101500054010410402","5401","u","4","10150","202302","1","1"
"0101500054010410502","5401","u","5","10150","202302","1","2"
"0101500054010410602","5401","u","6","10150","202302","1","3"
"0101500054010410702","5401","u","7","10150","202302","1","3"
"0101500054010410802","5401","u","8","10150","202302","3","2"
"0101500054010410902","5401","u","9","10150","202302","3","1"
"0101500056010270103","5601","u","1","10150","202303","1","2"
"0101500056010270203","5601","u","2","10150","202303","1","1"
"0101500056010270303","5601","u","3","10150","202303","1","1"
"0101500056010270403","5601","u","4","10150","202303","1","1"
"0101500056010270503","5601","u","5","10150","202303","1","1"
"0101500056010270603","5601","u","6","10150","202303","1","1"
"0101500056010270703","5601","u","7","10150","202303","1","3"
"0101500057010250101","5701","u","1","10150","202301","1","2"
"0101500057010250201","5701","u","2","10150","202301","1","3"
"0101500057010250301","5701","u","3","10150","202301","1","2"
"0101500057010250401","5701","u","4","10150","202301","1","2"
"0101500057010250501","5701","u","5","10150","202301","1","1"
"0101500057010250601","5701","u","6","10150","202301","1","1"
"0101500057010250701","5701","u","7","10150","202301","1","1"
"0101500062020370101","6202","u","1","10150","202301","1","2"
"0101500062020370201","6202","u","2","10150","202301","1","2"
"0101500062020370301","6202","u","3","10150","202301","1","1"
"0101500062020370401","6202","u","4","10150","202301","1","1"
"0101500062020370601","6202","u","6","10150","202301","1","1"
"0101500062020370701","6202","u","7","10150","202301","1","1"
"0101500062020370801","6202","u","8","10150","202301","1","2"
"0101500063030260102","6303","u","1","10150","202302","1","2"
"0101500063030260202","6303","u","2","10150","202302","1","3"
"0101500063030260302","6303","u","3","10150","202302","1","2"
"0101500063030260402","6303","u","4","10150","202302","1","2"
"0101500063030260502","6303","u","5","10150","202302","1","1"
"0101500063030260702","6303","u","7","10150","202302","1","1"
"0101500063030260802","6303","u","8","10150","202302","1","1"
"0101500065040420103","6504","u","1","10150","202303","1","1"
"0101500065040420203","6504","u","2","10150","202303","1","2"
"0101500065040420303","6504","u","3","10150","202303","1","1"
"0101500065040420403","6504","u","4","10150","202303","1","1"
"0101500065040420503","6504","u","5","10150","202303","1","1"
"0101500065040420603","6504","u","6","10150","202303","1","1"
"0101500065040420803","6504","u","8","10150","202303","1","1"
"0101500066020420203","6602","u","2","10150","202303","3","2"
"0101500066020420303","6602","u","3","10150","202303","3","2"
"0101500066020420503","6602","u","5","10150","202303","3","1"
"0101500066020420603","6602","u","6","10150","202303","1","1"
"0101500066020420803","6602","u","8","10150","202303","3","1"
"0101500066020420903","6602","u","9","10150","202303","3","1"
"0101500066020421003","6602","u","10","10150","202303","3","2"
"0101500075010250101","7501","u","1","10150","202301","1","1"
"0101500075010250201","7501","u","2","10150","202301","1","1"
"0101500075010250301","7501","u","3","10150","202301","1","1"
"0101500075010250501","7501","u","5","10150","202301","1","1"
"0101500075010250601","7501","u","6","10150","202301","1","1"
"0101500075010250701","7501","u","7","10150","202301","1","2"
"0101500075010250801","7501","u","8","10150","202301","1","1"
"0101500075020420103","7502","u","1","10150","202303","1","1"
"0101500075020420203","7502","u","2","10150","202303","1","1"
"0101500075020420303","7502","u","3","10150","202303","1","2"
"0101500075020420403","7502","u","4","10150","202303","1","1"
"0101500075020420503","7502","u","5","10150","202303","1","1"
"0101500075020420603","7502","u","6","10150","202303","1","1"
"0101500075020420703","7502","u","7","10150","202303","1","1"
"0101500077030260102","7703","u","1","10150","202302","1","4"
"0101500077030260202","7703","u","2","10150","202302","1","2"
"0101500077030260302","7703","u","3","10150","202302","1","1"
"0101500077030260402","7703","u","4","10150","202302","1","2"
"0101500077030260502","7703","u","5","10150","202302","3","1"
"0101500077030260602","7703","u","6","10150","202302","1","1"
"0101500077030260702","7703","u","7","10150","202302","1","1"
"0101500088010420103","8801","u","1","10150","202303","1","1"
"0101500088010420203","8801","u","2","10150","202303","1","2"
"0101500088010420503","8801","u","5","10150","202303","1","1"
"0101500088010420603","8801","u","6","10150","202303","1","2"
"0101500088010420703","8801","u","7","10150","202303","1","2"
"0101500088010420803","8801","u","8","10150","202303","1","2"
"0101500088010421003","8801","u","10","10150","202303","1","1"
"0101500093030280101","9303","u","1","10150","202301","1","1"
